drive,engine,exterior,fuel,interior,location,make,mileage,model,modification,mpg,name,price,transmission,url,vin,year
,,Gray,,Charcoal,"West Allis, WI",Nissan,"41,854",Altima,2.5 S,,2015 Nissan Altima,"$11,500",,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP7FN361641/2015-nissan-altima/,1N4AL3AP7FN361641,2015
,,Blue,,,"West Allis, WI",Kia,"21,041",Forte,LX Automatic,,2015 Kia Forte,"$12,495",,https://www.truecar.com/used-cars-for-sale/listing/KNAFX4A62F5275068/2015-kia-forte/,KNAFX4A62F5275068,2015
,,Black,,Black,"Waukesha, WI",Kia,"25,745",Forte,Automatic LX,,2016 Kia Forte,"$11,496",,https://www.truecar.com/used-cars-for-sale/listing/KNAFK4A65G5559875/2016-kia-forte/,KNAFK4A65G5559875,2016
,,Silky Silver,,Gray,"Milwaukee, WI",Kia,"37,035",Forte,LX Automatic,,2015 Kia Forte,"$9,995",,https://www.truecar.com/used-cars-for-sale/listing/KNAFX4A64F5384437/2015-kia-forte/,KNAFX4A64F5384437,2015
,,Red,,Beige,"Madison, WI",Kia,"23,803",Optima,EX,,2013 Kia Optima,"$14,547",,https://www.truecar.com/used-cars-for-sale/listing/5XXGN4A78DG245149/2013-kia-optima/,5XXGN4A78DG245149,2013
,,Red,,Black,"Madison, WI",Kia,"95,522",Spectra,5dr HB Manual Spectra5,,2007 Kia Spectra,"$5,849",,https://www.truecar.com/used-cars-for-sale/listing/KNAFE161X75006030/2007-kia-spectra/,KNAFE161X75006030,2007
,,Snow White Pearl,,Black,"Madison, WI",Kia,"2,124",Forte,EX Automatic,,2016 Kia Forte Koup,"$14,409",,https://www.truecar.com/used-cars-for-sale/listing/KNAFX6A83G5634975/2016-kia-forte-koup/,KNAFX6A83G5634975,2016
,,Symphony Silver,,Gray,"Rockford, IL",Hyundai,"28,839",Elantra,SE Automatic,,2017 Hyundai Elantra,"$12,372",,https://www.truecar.com/used-cars-for-sale/listing/5NPD74LF2HH173389/2017-hyundai-elantra/?zipcode=61109,5NPD74LF2HH173389,2017
,,Lakeside Blue,,Gray,"Rockford, IL",Hyundai,"29,018",Sonata,2.4L,,2017 Hyundai Sonata,"$14,072",,https://www.truecar.com/used-cars-for-sale/listing/5NPE24AF8HH491037/2017-hyundai-sonata/?zipcode=61109,5NPE24AF8HH491037,2017
,,Lakeside Blue,,Gray,"Rockford, IL",Hyundai,"29,281",Elantra,SE Automatic,,2017 Hyundai Elantra,"$12,372",,https://www.truecar.com/used-cars-for-sale/listing/5NPD74LF3HH165446/2017-hyundai-elantra/?zipcode=61109,5NPD74LF3HH165446,2017
,,Red,,Beige,"West Allis, WI",Honda,"51,351",Civic,LX Automatic,,2015 Honda Civic Sedan,"$12,500",,https://www.truecar.com/used-cars-for-sale/listing/19XFB2F58FE013212/2015-honda-civic-sedan/,19XFB2F58FE013212,2015
,,Gray,,,"McHenry, IL",Honda,"129,979",Civic,4dr Sedan,,2007 Honda Civic Hybrid,"$6,790",,https://www.truecar.com/used-cars-for-sale/listing/JHMFA362X7S028600/2007-honda-civic-hybrid/,JHMFA362X7S028600,2007
,,Crystal Black Pearl,,Black W/Cloth Seat Trim,"West Allis, WI",Honda,"35,213",Civic,EX Automatic,,2014 Honda Civic Sedan,"$13,771",,https://www.truecar.com/used-cars-for-sale/listing/2HGFB2F89EH554476/2014-honda-civic-sedan/,2HGFB2F89EH554476,2014
,,Black,,,"Glendale, WI",Honda,"20,740",Civic,LX Automatic,,2013 Honda Civic Sedan,"$13,498",,https://www.truecar.com/used-cars-for-sale/listing/2HGFB2F56DH591683/2013-honda-civic-sedan/,2HGFB2F56DH591683,2013
,,Silver,,,"Madison, WI",Toyota,"44,061",Corolla,LE,,2016 Toyota Corolla,"$12,999",,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHE7GC626937/2016-toyota-corolla/,2T1BURHE7GC626937,2016
,,Gray,,,"Madison, WI",Toyota,"21,579",Corolla,LE,,2015 Toyota Corolla,"$14,750",,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHE7FC359636/2015-toyota-corolla/,2T1BURHE7FC359636,2015
,,Blue,,Ash,"Madison, WI",Toyota,"17,532",Camry,LE,,2016 Toyota Camry,"$16,499",,https://www.truecar.com/used-cars-for-sale/listing/4T1BF1FK4GU610584/2016-toyota-camry/,4T1BF1FK4GU610584,2016
,,Soul Red Metallic,,Black,"Sheboygan, WI",Mazda,"23,418",Mazda3,i Sport 4-Door automatic,,2014 Mazda Mazda3,"$12,000",,https://www.truecar.com/used-cars-for-sale/listing/JM1BM1U76E1186218/2014-mazda-mazda3/,JM1BM1U76E1186218,2014
,,Slate Metallic,,Ash,"West Allis, WI",Toyota,"15,016",Corolla,LE,,2016 Toyota Corolla,"$14,675",,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHE3GC591829/2016-toyota-corolla/,2T1BURHE3GC591829,2016
,,Slate Metallic,,Ash,"West Allis, WI",Toyota,"24,104",Corolla,LE,,2016 Toyota Corolla,"$13,995",,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHE5GC590584/2016-toyota-corolla/,2T1BURHE5GC590584,2016
,,Silver,,Ebony,"Schaumburg, IL",Acura,"69,657",TSX,Automatic with Navigation,,2006 Acura TSX,"$8,195",,https://www.truecar.com/used-cars-for-sale/listing/JH4CL96986C035549/2006-acura-tsx/,JH4CL96986C035549,2006
,,Silver Moon Metallic,,Ebony,"Hoffman Estates, IL",Acura,"24,460",ILX,5-Speed Automatic with Technology Package,,2014 Acura ILX,"$17,929",,https://www.truecar.com/used-cars-for-sale/listing/19VDE1F72EE012199/2014-acura-ilx/,19VDE1F72EE012199,2014
,,Gun Metallic,,Charcoal,"Madison, WI",Nissan,"1,314",Sentra,S CVT,,2017 Nissan Sentra,"$14,195",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP8HY370460/2017-nissan-sentra/,3N1AB7AP8HY370460,2017
,,Gun Metallic,,Charcoal,"Madison, WI",Nissan,"4,105",Sentra,S CVT,,2017 Nissan Sentra,"$13,995",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP4HY378748/2017-nissan-sentra/,3N1AB7AP4HY378748,2017
,,Brilliant Silver,,Charcoal,"Madison, WI",Nissan,"4,261",Sentra,S CVT,,2017 Nissan Sentra,"$13,995",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP3HY388011/2017-nissan-sentra/,3N1AB7AP3HY388011,2017
,,Gray,,Ash,"Janesville, WI",Toyota,"15,787",Corolla,LE,,2015 Toyota Corolla,"$14,499",,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHE4FC388737/2015-toyota-corolla/,2T1BURHE4FC388737,2015
,,Black Sand Pearl,,Black,"Milwaukee, WI",Toyota,"9,531",Corolla,L Automatic,,2016 Toyota Corolla,"$13,900",,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHE1GC562121/2016-toyota-corolla/,2T1BURHE1GC562121,2016
,,,,,"Rockford, IL",Toyota,"26,786",Corolla,LE Automatic,,2017 Toyota Corolla,"$14,172",,https://www.truecar.com/used-cars-for-sale/listing/5YFBURHEXHP580148/2017-toyota-corolla/?zipcode=61109,5YFBURHEXHP580148,2017
,,Super White,,,"Rockford, IL",Toyota,"23,189",Corolla,LE Automatic,,2017 Toyota Corolla,"$14,472",,https://www.truecar.com/used-cars-for-sale/listing/5YFBURHEXHP642048/2017-toyota-corolla/?zipcode=61109,5YFBURHEXHP642048,2017
,,Gray,,Gray,"Madison, WI",Kia,"45,060",Optima,LX,,2015 Kia Optima,"$11,795",,https://www.truecar.com/used-cars-for-sale/listing/5XXGM4A70FG481526/2015-kia-optima/,5XXGM4A70FG481526,2015
,,Silky Silver,,Black,"Waukegan, IL",Kia,"25,648",Forte,Automatic LX,,2016 Kia Forte,"$13,999",,https://www.truecar.com/used-cars-for-sale/listing/KNAFK4A69G5501381/2016-kia-forte/,KNAFK4A69G5501381,2016
,,Aurora Black,,Gray,"Waukesha, WI",Kia,"35,221",Optima,LX,,2015 Kia Optima,"$13,988",,https://www.truecar.com/used-cars-for-sale/listing/5XXGM4A72FG410201/2015-kia-optima/,5XXGM4A72FG410201,2015
,,Fresh Powder,,Charcoal,"Stoughton, WI",Nissan,"45,119",Sentra,S Automatic,,2016 Nissan Sentra,"$10,798",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP2GY292191/2016-nissan-sentra/,3N1AB7AP2GY292191,2016
